start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Jan 01 2011,19,4,3,7,8,1,1
Jan 02 2011,19,4,3,7,8,1,1
Jan 03 2011,19,4,3,7,8,1,1
Jan 04 2011,19,4,3,7,8,1,1
Jan 05 2011,19,4,3,7,8,1,1
Jan 06 2011,19,4,3,7,8,1,1
Jan 07 2011,19,4,3,7,8,1,1
Jan 08 2011,19,4,3,7,8,1,1
Jan 09 2011,19,4,3,7,8,1,1
Jan 10 2011,19,4,3,7,8,1,1
Jan 11 2011,19,4,3,7,8,1,1
Jan 12 2011,19,4,3,7,8,1,1
Jan 13 2011,19,4,3,7,8,1,1
Jan 14 2011,19,4,3,7,8,1,1
Jan 15 2011,19,4,3,7,8,1,1
Jan 16 2011,19,4,3,7,8,1,1
Jan 17 2011,19,4,3,7,8,1,1
Jan 18 2011,19,4,3,7,8,1,1
Jan 19 2011,19,4,3,7,8,1,1
Jan 20 2011,19,4,3,7,8,1,1
Jan 21 2011,19,4,3,7,8,1,1
Jan 22 2011,19,4,3,7,8,1,1
Jan 23 2011,19,4,3,7,8,1,1
Jan 24 2011,19,4,3,7,8,1,1
Jan 25 2011,19,4,3,7,8,1,1
Jan 26 2011,19,4,3,7,8,1,1
Jan 27 2011,19,4,3,7,8,1,1
Jan 28 2011,19,4,3,7,8,1,1
Jan 29 2011,19,4,3,7,8,1,1
Jan 30 2011,19,4,3,7,8,1,1
Jan 31 2011,19,4,3,7,8,1,1
Feb 01 2011,19,4,3,7,8,1,1
Feb 02 2011,19,4,3,7,8,1,1
Feb 03 2011,19,4,3,7,8,1,1
Feb 04 2011,19,4,3,7,8,1,1
Feb 05 2011,19,4,3,7,8,1,1
Feb 06 2011,19,4,3,7,8,1,1
Feb 07 2011,19,4,3,7,8,1,1
Feb 08 2011,19,4,3,7,8,1,1
Feb 09 2011,19,4,3,7,8,1,1
Feb 10 2011,19,4,3,7,8,1,1
Feb 11 2011,19,4,3,7,8,1,1
Feb 12 2011,19,4,3,7,8,1,1
Feb 13 2011,19,4,3,7,8,1,1
Feb 14 2011,19,4,3,7,8,1,1
Feb 15 2011,19,4,3,7,8,1,1
Feb 16 2011,19,4,3,7,8,1,1
Feb 17 2011,19,4,3,7,8,1,1
Feb 18 2011,19,4,3,7,8,1,1
Feb 19 2011,19,4,3,7,8,1,1
Feb 20 2011,19,4,3,7,8,1,1
Feb 21 2011,19,4,3,7,8,1,1
Feb 22 2011,19,4,3,7,8,1,1
Feb 23 2011,19,4,3,7,8,1,1
Feb 24 2011,19,4,3,7,8,1,1
Feb 25 2011,19,4,3,7,8,1,1
Feb 26 2011,19,4,3,7,8,1,1
Feb 27 2011,19,4,3,7,8,1,1
Feb 28 2011,19,4,3,7,8,1,1
Mar 01 2011,19,4,3,7,8,1,1
Mar 02 2011,19,4,3,7,8,1,1
Mar 03 2011,19,4,3,7,8,1,1
Mar 04 2011,19,4,3,7,8,1,1
Mar 05 2011,19,4,3,7,8,1,1
Mar 06 2011,19,4,3,7,8,1,1
Mar 07 2011,19,4,3,7,8,1,1
Mar 08 2011,19,4,3,7,8,1,1
Mar 09 2011,19,4,3,7,8,1,1
Mar 10 2011,19,4,3,7,8,1,1
Mar 11 2011,19,4,3,7,8,1,1
Mar 12 2011,19,4,3,7,8,1,1
Mar 13 2011,19,4,3,7,8,1,1
Mar 14 2011,19,4,3,7,8,1,1
Mar 15 2011,19,4,3,7,8,1,1
Mar 16 2011,19,4,3,7,8,1,1
Mar 17 2011,19,4,3,7,8,1,1
Mar 18 2011,19,4,3,7,8,1,1
Mar 19 2011,19,4,3,7,8,1,1
Mar 20 2011,19,4,3,7,8,1,1
Mar 21 2011,19,4,3,7,8,1,1
Mar 22 2011,19,4,3,7,8,1,1
Mar 23 2011,19,4,3,7,8,1,1
Mar 24 2011,19,4,3,7,8,1,1
Mar 25 2011,19,4,3,7,8,1,1
Mar 26 2011,19,4,3,7,8,1,1
Mar 27 2011,19,4,3,7,8,1,1
Mar 28 2011,19,4,3,7,8,1,1
Mar 29 2011,19,4,3,7,8,1,1
Mar 30 2011,19,4,3,7,8,1,1
Mar 31 2011,19,4,3,7,8,1,1
Apr 01 2011,19,4,3,7,8,1,1
Apr 02 2011,19,4,3,7,8,1,1
Apr 03 2011,19,4,3,7,8,1,1
Apr 04 2011,19,4,3,7,8,1,1
Apr 05 2011,19,4,3,7,8,1,1
Apr 06 2011,19,4,3,7,8,1,1
Apr 07 2011,19,4,3,7,8,1,1
Apr 08 2011,19,4,3,7,8,1,1
Apr 09 2011,19,4,3,7,8,1,1
Apr 10 2011,19,4,3,7,8,1,1
Apr 11 2011,19,4,3,7,8,1,1
Apr 12 2011,19,4,3,7,8,1,1
Apr 13 2011,19,4,3,7,8,1,1
Apr 14 2011,19,4,3,7,8,1,1
Apr 15 2011,19,4,3,7,8,1,1
Apr 16 2011,19,4,3,7,8,1,1
Apr 17 2011,19,4,3,7,8,1,1
Apr 18 2011,19,4,3,7,8,1,1
Apr 19 2011,19,4,3,7,8,1,1
Apr 20 2011,19,4,3,7,8,1,1
Apr 21 2011,19,4,3,7,8,1,1
Apr 22 2011,19,4,3,7,8,1,1
Apr 23 2011,19,4,3,7,8,1,1
Apr 24 2011,19,4,3,7,8,1,1
Apr 25 2011,19,4,3,7,8,1,1
Apr 26 2011,19,4,3,7,8,1,1
Apr 27 2011,19,4,3,7,8,1,1
Apr 28 2011,19,4,3,7,8,1,1
Apr 29 2011,19,4,3,7,8,1,1
Apr 30 2011,19,4,3,7,8,1,1
May 01 2011,19,4,3,7,8,1,1
May 02 2011,19,4,3,7,8,1,1
May 03 2011,19,4,3,7,8,1,1
May 04 2011,19,4,3,7,8,1,1
May 05 2011,19,4,3,7,8,1,1
May 06 2011,19,4,3,7,8,1,1
May 07 2011,19,4,3,7,8,1,1
May 08 2011,19,4,3,7,8,1,1
May 09 2011,19,4,3,7,8,1,1
May 10 2011,19,4,3,7,8,1,1
May 11 2011,19,4,3,7,8,1,1
May 12 2011,19,4,3,7,8,1,1
May 13 2011,19,4,3,7,8,1,1
May 14 2011,19,4,3,7,8,1,1
May 15 2011,19,4,3,7,8,1,1
May 16 2011,19,4,3,7,8,1,1
May 17 2011,19,4,3,7,8,1,1
May 18 2011,19,4,3,7,8,1,1
May 19 2011,19,4,3,7,8,1,1
May 20 2011,19,4,3,7,8,1,1
May 21 2011,19,4,3,7,8,1,1
May 22 2011,19,4,3,7,8,1,1
May 23 2011,19,4,3,7,8,1,1
May 24 2011,19,4,3,7,8,1,1
May 25 2011,19,4,3,7,8,1,1
May 26 2011,19,4,3,7,8,1,1
May 27 2011,19,4,3,7,8,1,1
May 28 2011,19,4,3,7,8,1,1
May 29 2011,19,4,3,7,8,1,1
May 30 2011,19,4,3,7,8,1,1
May 31 2011,19,4,3,7,8,1,1
Jun 01 2011,19,4,3,7,8,1,1
Jun 02 2011,19,4,3,7,8,1,1
Jun 03 2011,19,4,3,7,8,1,1
Jun 04 2011,19,4,3,7,8,1,1
Jun 05 2011,19,4,3,7,8,1,1
Jun 06 2011,19,4,3,7,8,1,1
Jun 07 2011,19,4,3,7,8,1,1
Jun 08 2011,19,4,3,7,8,1,1
Jun 09 2011,19,4,3,7,8,1,1
Jun 10 2011,19,4,3,7,8,1,1
Jun 11 2011,19,4,3,7,8,1,1
Jun 12 2011,19,4,3,7,8,1,1
Jun 13 2011,19,4,3,7,8,1,1
Jun 14 2011,19,4,3,7,8,1,1
Jun 15 2011,19,4,3,7,8,1,1
Jun 16 2011,19,4,3,7,8,1,1
Jun 17 2011,19,4,3,7,8,1,1
Jun 18 2011,19,4,3,7,8,1,1
Jun 19 2011,19,4,3,7,8,1,1
Jun 20 2011,19,4,3,7,8,1,1
Jun 21 2011,19,4,3,7,8,1,1
Jun 22 2011,19,4,3,7,8,1,1
Jun 23 2011,19,4,3,7,8,1,1
Jun 24 2011,19,4,3,7,8,1,1
Jun 25 2011,19,4,3,7,8,1,1
Jun 26 2011,19,4,3,7,8,1,1
Jun 27 2011,19,4,3,7,8,1,1
Jun 28 2011,19,4,3,7,8,1,1
Jun 29 2011,19,4,3,7,8,1,1
Jun 30 2011,19,4,3,7,8,1,1
Jul 01 2011,19,4,3,7,8,1,1
Jul 02 2011,19,4,3,7,8,1,1
Jul 03 2011,19,4,3,7,8,1,1
Jul 04 2011,19,4,3,7,8,1,1
Jul 05 2011,19,4,3,7,8,1,1
Jul 06 2011,19,4,3,7,8,1,1
Jul 07 2011,19,4,3,7,8,1,1
