start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Jan 01 2011,19,4,4,7,8,99,1,16536.624629406993,5667.4,30813626.0,01h 44m 49s
Jan 02 2011,19,4,4,7,8,99,1,15095.888726147936,6136.15,26693558.0,01h 43m 47s
Jan 03 2011,19,4,4,7,8,99,1,12392.743316420525,6177.42,20212358.0,05h 03m 59s
Jan 04 2011,19,4,4,7,8,99,1,9836.836046468547,6442.09,13747084.0,02h 30m 07s
Jan 05 2011,19,4,4,7,8,99,1,11061.815266058189,6377.84,16732159.0,02h 19m 56s
Jan 06 2011,19,4,4,7,8,99,1,11709.229257606456,6591.89,17932512.0,01h 04m 44s
Jan 07 2011,19,4,4,7,8,99,1,14089.198212493473,6117.28,24266260.0,03h 39m 24s
Jan 08 2011,19,4,4,7,8,99,1,18929.323619435694,6720.42,34821524.0,01h 49m 39s
Jan 09 2011,19,4,4,7,8,99,1,16910.48876235196,6761.63,29954582.0,01h 49m 17s
Jan 10 2011,19,4,4,7,8,99,1,12415.827534431663,6442.84,19757772.0,03h 27m 02s
Jan 11 2011,19,4,4,7,8,99,1,10559.1536718846,6098.56,15854020.0,01h 49m 00s
Jan 12 2011,19,4,4,7,8,99,1,20563.338061740178,6712.25,38624400.0,03h 59m 43s
Jan 13 2011,19,4,4,7,8,99,1,14937.957542814296,6591.08,25448778.0,02h 04m 22s
Jan 14 2011,19,4,4,7,8,99,1,7915.053122414336,7407.86,7538881.0,01h 03m 58s
Jan 15 2011,19,4,4,7,8,99,1,9204.234306555285,6344.43,12182792.0,02h 24m 20s
Jan 16 2011,19,4,4,7,8,99,1,10419.97945958271,6872.81,14235800.0,01h 07m 59s
Jan 17 2011,19,4,4,7,8,99,1,10366.572420539607,6441.05,14741046.0,02h 15m 28s
Jan 18 2011,19,4,4,7,8,99,1,18260.653232466208,6077.9,33984420.0,05h 49m 57s
Jan 19 2011,19,4,4,7,8,99,1,12935.535072800085,7373.3,19346284.0,01h 49m 41s
Jan 20 2011,19,4,4,7,8,99,1,9070.56882839795,7028.45,10682754.0,01h 05m 49s
Jan 21 2011,19,4,4,7,8,99,1,16813.146900265165,7111.47,28877928.0,01h 55m 29s
Jan 22 2011,19,4,4,7,8,99,1,13688.232277469404,7030.02,21563532.0,02h 16m 58s
Jan 23 2011,19,4,4,7,8,99,1,14860.82719174627,7356.66,23803042.0,03h 37m 45s
Jan 24 2011,19,4,4,7,8,99,1,12106.332897166252,7916.04,16366431.0,01h 33m 43s
Jan 25 2011,19,4,4,7,8,99,1,11405.505417357701,7654.5,15075053.0,01h 37m 03s
Jan 26 2011,19,4,4,7,8,99,1,17327.605392816095,7383.51,29500762.0,03h 53m 09s
Jan 27 2011,19,4,4,7,8,99,1,16569.09951302185,6831.5,28533342.0,02h 03m 47s
Jan 28 2011,19,4,4,7,8,99,1,10004.01219017696,7881.5,11277543.0,03h 20m 40s
Jan 29 2011,19,4,4,7,8,99,1,10076.816654130653,7220.81,12454719.0,01h 29m 34s
Jan 30 2011,19,4,4,7,8,99,1,9684.481066267905,7997.8,10251458.0,01h 54m 05s
Jan 31 2011,19,4,4,7,8,99,1,10086.866394619967,7884.34,11342689.0,03h 20m 41s
Feb 01 2011,19,4,4,7,8,99,1,13695.158886340389,6804.56,21580390.0,02h 00m 20s
Feb 02 2011,19,4,4,7,8,99,1,27812.1058196703,7163.12,54432556.0,01h 46m 47s
Feb 03 2011,19,4,4,7,8,99,1,17919.43135444786,8243.78,29199096.0,01h 37m 55s
Feb 04 2011,19,4,4,7,8,99,1,14674.168341551383,7369.65,22871668.0,01h 51m 10s
Feb 05 2011,19,4,4,7,8,99,1,13940.098615354109,7812.98,20369196.0,02h 13m 44s
Feb 06 2011,19,4,4,7,8,99,1,16095.551672340884,8368.81,24527762.0,03h 46m 54s
Feb 07 2011,19,4,4,7,8,99,1,10724.537691211724,8308.05,11844601.0,03h 42m 37s
Feb 08 2011,19,4,4,7,8,99,1,21457.21810159526,8359.27,37153704.0,01h 38m 05s
Feb 09 2011,19,4,4,7,8,99,1,18358.343005355666,8854.75,28940822.0,02h 00m 29s
Feb 10 2011,19,4,4,7,8,99,1,16300.741333279686,7840.03,25685744.0,01h 35m 40s
Feb 11 2011,19,4,4,7,8,99,1,13725.445474351323,8805.12,17931226.0,01h 38m 30s
Feb 12 2011,19,4,4,7,8,99,1,19554.201322725923,9247.38,30957650.0,01h 43m 40s
Feb 13 2011,19,4,4,7,8,99,1,17601.27745474924,8112.56,28166600.0,01h 38m 59s
Feb 14 2011,19,4,4,7,8,99,1,25223.38072027964,8217.87,46007636.0,01h 53m 54s
Feb 15 2011,19,4,4,7,8,99,1,20642.568322261843,8970.48,33828348.0,01h 36m 53s
Feb 16 2011,19,4,4,7,8,99,1,15274.486727417541,10492.16,18472576.0,01h 39m 29s
Feb 17 2011,19,4,4,7,8,99,1,17526.462223469072,9675.01,25130038.0,01h 41m 00s
Feb 18 2011,19,4,4,7,8,99,1,27587.284037091016,10340.16,47784420.0,01h 51m 21s
Feb 19 2011,19,4,4,7,8,99,1,29828.788486694266,9891.06,53798532.0,02h 04m 44s
Feb 20 2011,19,4,4,7,8,99,1,19686.17850663549,9411.93,30511700.0,02h 05m 26s
Feb 21 2011,19,4,4,7,8,99,1,21354.41494740267,9076.89,34981608.0,01h 13m 29s
