start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Jun 04 2011,8,4,4,2,2,6,2
Jun 17 2011,8,4,4,2,2,6,2
Jun 21 2011,8,4,4,2,2,6,2
Jun 22 2011,8,4,4,2,2,6,2
Jun 23 2011,8,4,4,2,2,6,2
Jun 24 2011,8,4,4,2,2,6,2
Jun 26 2011,8,4,4,2,2,6,2
Jun 27 2011,8,4,4,2,2,6,2
Jun 28 2011,8,4,4,2,2,6,2
Jul 01 2011,8,4,4,2,2,6,2
Jul 02 2011,8,4,4,2,2,6,2
Jul 03 2011,8,4,4,2,2,6,2
Jul 04 2011,8,4,4,2,2,6,2
Jul 06 2011,8,4,4,2,2,6,2
Jul 07 2011,8,4,4,2,2,6,2
Jul 08 2011,8,4,4,2,2,6,2
Jul 09 2011,8,4,4,2,2,6,2
Jul 10 2011,8,4,4,2,2,6,2
Jul 11 2011,8,4,4,2,2,6,2
Jul 12 2011,8,4,4,2,2,6,2
Jul 13 2011,8,4,4,2,2,6,2
Jul 14 2011,8,4,4,2,2,6,2
Jul 15 2011,8,4,4,2,2,6,2
Jul 16 2011,8,4,4,2,2,6,2
Jul 17 2011,8,4,4,2,2,6,2
Jul 18 2011,8,4,4,2,2,6,2
Jul 19 2011,8,4,4,2,2,6,2
Jul 20 2011,8,4,4,2,2,6,2
Jul 21 2011,8,4,4,2,2,6,2
Jul 22 2011,8,4,4,2,2,6,2
Jul 23 2011,8,4,4,2,2,6,2
Jul 24 2011,8,4,4,2,2,6,2
Jul 25 2011,8,4,4,2,2,6,2
Jul 26 2011,8,4,4,2,2,6,2
Jul 27 2011,8,4,4,2,2,6,2
Jul 28 2011,8,4,4,2,2,6,2
Jul 29 2011,8,4,4,2,2,6,2
Jul 30 2011,8,4,4,2,2,6,2
Jul 31 2011,8,4,4,2,2,6,2
Aug 01 2011,8,4,4,2,2,6,2
Aug 02 2011,8,4,4,2,2,6,2
Aug 03 2011,8,4,4,2,2,6,2
Aug 04 2011,8,4,4,2,2,6,2
Aug 05 2011,8,4,4,2,2,6,2
Aug 06 2011,8,4,4,2,2,6,2
Aug 07 2011,8,4,4,2,2,6,2
Aug 08 2011,8,4,4,2,2,6,2
Aug 09 2011,8,4,4,2,2,6,2
Aug 10 2011,8,4,4,2,2,6,2
Aug 11 2011,8,4,4,2,2,6,2
Aug 13 2011,8,4,4,2,2,6,2
Aug 17 2011,8,4,4,2,2,6,2
Aug 18 2011,8,4,4,2,2,6,2
Aug 19 2011,8,4,4,2,2,6,2
Aug 20 2011,8,4,4,2,2,6,2
Aug 21 2011,8,4,4,2,2,6,2
Aug 22 2011,8,4,4,2,2,6,2
Aug 23 2011,8,4,4,2,2,6,2
Aug 24 2011,8,4,4,2,2,6,2
Aug 26 2011,8,4,4,2,2,6,2
Aug 27 2011,8,4,4,2,2,6,2
