start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Dec 29 2011,2,31,2,3,5,93,1,6.0219999999999996e+23,00:00:00
Nov 27 2011,13,5,7,5,5,14,1,2034.4231897873913,4:39:34.359051
Sep 01 2011,14,4,7,1,1,11,2,6.0219999999999996e+23,0:00:00.042498
Apr 06 2011,18,1,5,7,9,16,1,6.0219999999999996e+23,6:00:01.733799
May 02 2011,14,7,1,7,8,94,1,6.0219999999999996e+23,6:00:06.829933
Dec 30 2011,6,31,1,7,5,2,1,1363.6346154863247,1:55:58.395966
Oct 29 2011,7,31,7,1,10,14,10,1211.080138979215,1:30:10.436414
Feb 11 2011,22,3,24,2,7,3,1,770.2478509410581,1:36:38.047665
Mar 25 2011,51,24,3,4,5,16,1,807.9148986540238,1:43:53.278217
Oct 15 2011,5,24,3,1,9,7,1,1161.163801310046,1:59:39.889881
Nov 18 2011,17,31,4,7,8,94,1,748.20303503842,1:29:18.647656
May 06 2011,50,3,99,4,10,10,10,1037.5283437384846,1:22:39.422738
May 16 2011,18,4,4,2,6,93,5,1290.1038577401364,2:19:13.087871
Jul 29 2011,1,24,7,5,1,11,1,2413.9905937228455,3:56:48.570734
Oct 23 2011,9,99,24,1,8,4,1,6.0219999999999996e+23,6:00:08.745002
May 19 2011,5,3,24,7,10,2,10,1207.517481114888,1:05:10.113421
Jan 29 2011,28,7,24,3,1,11,1,6.0219999999999996e+23,00:00:00
Oct 09 2011,8,31,4,5,2,7,5,6.0219999999999996e+23,0:00:00.038396
Feb 18 2011,2,31,4,7,8,1,1,1105.197013629902,1:30:40.908907
Jun 22 2011,22,5,7,4,10,10,10,2467.9527646130136,1:40:06.344345
Jan 24 2011,17,4,99,7,2,16,2,6.0219999999999996e+23,6:00:08.131268
Dec 01 2011,30,31,5,1,12,5,1,6.0219999999999996e+23,0:00:00.040579
Aug 08 2011,15,1,3,1,8,3,1,6.0219999999999996e+23,0:00:00.039931
Mar 14 2011,16,3,4,3,4,4,4,6.0219999999999996e+23,00:00:00
Jan 17 2011,15,1,99,5,11,94,1,6.0219999999999996e+23,0:00:10.413385
Dec 02 2011,14,99,1,1,9,14,1,552.7426474229152,1:36:31.878010
Jun 11 2011,9,7,4,4,4,14,4,1009.9265364312057,3:34:22.579452
Mar 31 2011,11,1,1,7,6,14,5,6.0219999999999996e+23,6:00:01.642585
Aug 14 2011,30,3,2,3,2,14,2,6.0219999999999996e+23,00:00:00
Mar 17 2011,28,5,4,4,11,4,1,6.0219999999999996e+23,6:00:04.067214
Oct 01 2011,6,31,1,1,11,14,1,1376.7490290897229,1:39:27.097224
Nov 12 2011,28,7,7,4,5,4,1,6.0219999999999996e+23,6:00:06.778290
Apr 05 2011,8,31,1,1,12,4,1,6.0219999999999996e+23,6:00:01.594479
Jan 01 2011,18,3,4,7,9,7,1,6.0219999999999996e+23,6:00:02.341057
Nov 04 2011,32,31,2,1,7,94,1,6.0219999999999996e+23,6:00:08.019754
Aug 01 2011,51,7,2,4,12,1,1,902.0582206040386,1:48:03.957250
Oct 04 2011,5,99,7,7,5,4,1,6.0219999999999996e+23,6:00:02.201784
Jan 01 2011,8,4,99,5,9,7,1,1432.4461843193053,5:22:22.863760
Sep 29 2011,4,24,3,4,4,2,4,849.7793216983323,2:27:25.397339
Aug 02 2011,51,1,5,1,6,1,5,1147.5140543152668,1:20:46.902646
Jul 18 2011,22,99,1,4,4,4,4,6.0219999999999996e+23,6:00:08.614966
Jan 12 2011,22,5,4,1,6,93,5,1441.0759847107242,2:12:18.287626
Jul 14 2011,15,99,1,4,4,14,4,6.0219999999999996e+23,0:00:00.070883
Jan 24 2011,13,31,1,5,9,7,1,1886.2266380881024,5:02:49.966948
Apr 02 2011,32,1,7,3,2,99,2,6.0219999999999996e+23,00:00:00
Apr 20 2011,30,4,5,7,12,4,1,6.0219999999999996e+23,6:00:06.027215
Oct 30 2011,4,4,4,7,5,2,1,1023.4214495566887,1:47:33.883889
Jan 11 2011,3,24,2,7,4,4,4,6.0219999999999996e+23,6:00:02.393602
Jul 23 2011,7,1,7,3,7,4,1,6.0219999999999996e+23,00:00:00
Nov 27 2011,21,1,1,5,7,93,1,1171.3601846234747,4:09:22.889112
Oct 05 2011,11,24,1,3,1,10,1,6.0219999999999996e+23,00:00:00
Apr 18 2011,8,3,3,4,1,11,1,1088.8811426575903,01h 32m 46s
Nov 30 2011,4,24,7,5,1,11,1,1537.2040697059037,04h 24m 30s
Jul 26 2011,13,1,2,7,9,99,1,6.0219999999999996e+23,06h 00m 04s
May 31 2011,11,4,4,5,4,5,4,6.0219999999999996e+23,00h 00m 20s
Dec 06 2011,14,99,1,1,1,93,1,496.66382605983074,01h 20m 34s
Dec 30 2011,10,31,3,4,7,5,1,6.0219999999999996e+23,00h 52m 31s
Feb 03 2011,14,31,3,2,7,99,1,6.0219999999999996e+23,06h 00m 03s
Aug 03 2011,4,24,3,1,1,11,5,6.0219999999999996e+23,00h 00m 00s
Feb 22 2011,7,5,3,2,9,7,1,1048.9300994155828,03h 26m 00s
Apr 25 2011,30,99,24,5,5,16,1,6.0219999999999996e+23,06h 00m 02s
Oct 10 2011,32,31,99,5,1,11,1,6.0219999999999996e+23,06h 00m 03s
Oct 20 2011,17,31,1,5,5,10,1,3135.427148837749,04h 56m 45s
Dec 13 2011,3,3,99,3,6,1,5,6.0219999999999996e+23,00:00:00
Feb 08 2011,22,4,1,7,7,94,1,992.3378467602997,01h 49m 22s
Sep 05 2011,8,4,5,7,9,4,1,6.0219999999999996e+23,06h 00m 01s
Aug 22 2011,8,7,99,7,10,93,10,6.0219999999999996e+23,06h 00m 00s
Sep 10 2011,9,5,5,2,7,99,1,729.4114687844867,01h 46m 23s
Dec 09 2011,19,31,7,3,2,3,2,6.0219999999999996e+23,00:00:00
Jan 18 2011,2,24,99,5,9,7,1,1695.842717179924,05h 31m 26s
Oct 30 2011,51,4,1,7,1,11,1,938.3693175682831,01h 23m 18s
Aug 11 2011,51,31,99,1,12,10,1,926.4403147633384,01h 20m 17s
Nov 06 2011,5,4,5,4,9,16,1,1057.4204890788433,01h 32m 08s
Nov 09 2011,4,4,99,3,10,2,10,6.0219999999999996e+23,00:00:00
Apr 09 2011,16,24,3,3,8,3,1,6.0219999999999996e+23,00:00:00
Nov 27 2011,3,3,3,7,11,4,1,6.0219999999999996e+23,05h 59m 59s
Jun 17 2011,21,4,24,5,7,94,1,1025.6287509457773,04h 12m 23s
Sep 03 2011,16,1,5,2,10,14,10,6.0219999999999996e+23,06h 00m 05s
Aug 02 2011,1,99,99,2,4,16,4,6.0219999999999996e+23,00h 00m 00s
Mar 20 2011,6,5,5,2,1,11,1,1038.6898757255524,01h 45m 21s
Sep 20 2011,7,99,2,1,9,94,1,868.6653384996582,02h 11m 21s
Apr 26 2011,11,4,4,3,11,4,1,6.0219999999999996e+23,00:00:00
Dec 19 2011,5,3,2,7,11,93,1,813.5060110543905,00h 57m 37s
Jul 27 2011,11,3,5,7,6,6,5,6.0219999999999996e+23,06h 00m 01s
Apr 18 2011,10,24,4,5,1,16,1,1220.9034902810536,04h 39m 36s
Jun 11 2011,32,5,99,1,5,5,1,6.0219999999999996e+23,06h 00m 04s
Mar 05 2011,17,7,5,5,2,10,2,6.0219999999999996e+23,00h 00m 10s
Aug 31 2011,22,1,24,7,4,14,4,6.0219999999999996e+23,06h 00m 01s
Aug 18 2011,50,99,7,3,2,7,1,6.0219999999999996e+23,00:00:00
Mar 07 2011,2,4,4,5,9,94,1,1328.3341924047866,05h 07m 05s
Jan 06 2011,7,99,2,2,1,11,1,656.4021238217921,03h 02m 58s
Jan 22 2011,5,31,4,7,8,5,1,626.5883861528191,01h 06m 06s
Apr 17 2011,51,5,24,3,6,3,5,6.0219999999999996e+23,00:00:00
Jan 28 2011,15,1,2,7,6,16,5,6.0219999999999996e+23,00h 00m 00s
Nov 20 2011,21,4,99,3,9,94,1,6.0219999999999996e+23,00:00:00
Dec 22 2011,50,3,5,2,7,93,1,860.7082550381609,01h 21m 52s
Jul 30 2011,51,4,3,1,9,3,1,803.327049537337,01h 47m 02s
Feb 02 2011,17,7,4,2,7,1,1,1899.5894131187351,02h 31m 46s
Jun 23 2011,14,24,7,1,8,14,1,1863.2238107466183,01h 20m 36s
Dec 19 2011,50,1,24,7,7,14,1,6.0219999999999996e+23,06h 00m 03s
Jul 24 2011,7,4,2,2,1,11,1,1042.6909378229757,01h 44m 20s
May 08 2011,2,99,4,5,9,94,1,982.3388060062621,05h 08m 53s
