start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,ghi_error,wpd_error,runtime
Nov 10 2011,2,5,99,2,4,16,4,31298.6803065001,10831.9,56780220.0,03h 23m 16s
Nov 25 2011,51,1,7,1,11,1,1,31516.466190026702,21342.01,41989356.0,00h 51m 09s
Oct 07 2011,13,3,3,7,12,10,1,19734.00864055981,8762.55,30784876.0,01h 05m 24s
Aug 13 2011,17,3,2,4,12,16,1,24613.299895423293,20582.19,13254863.0,01h 51m 31s
Apr 02 2011,3,31,7,7,2,6,2,71681.21636066385,52733.16,64502156.0,00h 46m 48s
Apr 18 2011,3,99,3,4,8,14,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 20s
May 02 2011,3,3,24,2,9,7,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Sep 29 2011,13,4,3,4,12,99,1,20302.012604373685,11870.49,25805858.0,01h 15m 52s
May 15 2011,18,24,1,7,2,93,2,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Jul 29 2011,7,24,2,3,5,94,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Jul 26 2011,19,5,3,3,9,7,4,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Jan 19 2011,13,99,4,1,12,99,1,15391.019143242367,7883.92,24383438.0,00h 56m 34s
Nov 11 2011,30,4,7,2,1,11,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Mar 31 2011,10,99,5,7,8,5,1,32516.686339698,26907.23,23662138.0,01h 12m 34s
Jun 26 2011,15,1,1,2,1,5,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Apr 14 2011,17,99,2,3,1,11,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
Feb 09 2011,19,7,2,4,9,1,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,08h 00m 09s
Feb 21 2011,13,99,2,7,12,1,1,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,08h 00m 04s
Jun 01 2011,6,99,4,1,7,14,1,35515.458958663396,15730.89,47434212.0,01h 09m 57s
May 03 2011,22,1,24,3,4,2,4,6.0219999999999996e+23,6.0219999999999996e+23,6.0219999999999996e+23,00h 00m 00s
