mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness
14,31,7,5,6,10,5,1619.8042188128366
7,5,99,7,1,3,1,6.0219999999999996e+23
9,3,4,5,10,99,10,783.988131526322
14,5,4,2,8,2,1,498.43979195086104
8,1,1,3,12,94,1,6.0219999999999996e+23
8,31,3,4,10,99,10,1229.3484965201383
4,7,4,2,2,7,1,6.0219999999999996e+23
8,4,5,4,7,94,1,519.3849829170176
4,31,24,5,2,7,2,6.0219999999999996e+23
15,99,7,2,1,11,1,6.0219999999999996e+23
14,3,4,2,8,2,1,514.4035779137765
9,5,4,5,10,99,10,904.0708361747555
9,3,5,5,10,99,10,904.1945139407646
11,3,4,5,10,99,10,714.4140963825707
