start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Jul 09 2011,18,7,1,7,9,7,1
Sep 16 2011,13,3,3,1,12,10,1
Apr 17 2011,18,99,1,1,9,7,1
Dec 26 2011,2,7,4,5,8,94,1
Jul 18 2011,13,1,4,1,8,99,1
Sep 04 2011,10,99,3,5,12,5,1
Jan 28 2011,2,99,4,1,8,94,1
Dec 20 2011,18,7,1,5,9,7,1
Aug 01 2011,13,99,4,4,12,99,1
Nov 19 2011,21,4,3,1,12,10,1
Apr 21 2011,2,7,1,5,9,7,1
Feb 22 2011,18,99,4,5,8,94,1
Apr 26 2011,13,1,4,1,12,99,1
Jul 01 2011,13,99,4,1,12,99,1
Sep 18 2011,10,99,3,4,8,94,1
Oct 28 2011,2,99,4,5,8,5,1
Nov 28 2011,2,1,4,1,12,99,1
Feb 06 2011,13,1,4,5,8,94,1
May 20 2011,2,1,4,5,12,94,1
Oct 05 2011,13,99,4,1,8,99,1
Jul 14 2011,18,7,1,7,9,7,1
Feb 04 2011,3,3,1,1,11,1,1
Mar 17 2011,18,1,99,5,1,11,1
Apr 27 2011,51,7,1,1,9,7,1
Jul 25 2011,18,7,1,4,9,7,1
Sep 23 2011,21,4,3,5,12,10,1
Feb 11 2011,2,99,3,5,8,94,1
Sep 27 2011,21,4,4,4,12,10,1
Jul 02 2011,18,1,1,1,9,7,1
May 21 2011,50,7,1,4,10,1,10
Nov 22 2011,17,3,3,4,11,10,1
Feb 15 2011,21,4,3,5,12,10,1
Nov 28 2011,2,1,4,5,8,7,1
Mar 29 2011,18,7,1,1,9,94,1
Nov 17 2011,2,4,4,5,8,94,1
Jan 16 2011,21,99,3,4,12,10,1
May 23 2011,2,99,4,5,8,99,1
Sep 05 2011,13,99,4,1,12,94,1
Jul 20 2011,51,1,3,5,1,11,1
Oct 17 2011,13,3,99,7,12,10,1
Dec 17 2011,50,1,1,4,10,1,2
Apr 03 2011,50,1,1,4,10,1,10
Jun 25 2011,10,99,4,4,8,5,1
Aug 01 2011,13,1,3,1,12,99,1
Dec 18 2011,2,1,4,5,8,94,1
Dec 27 2011,18,99,99,4,4,3,4
Oct 26 2011,18,7,1,5,11,7,1
Oct 20 2011,3,3,1,7,9,1,1
Jun 03 2011,18,7,1,1,9,10,1
Jun 28 2011,17,3,3,1,8,7,1
Oct 16 2011,51,1,99,5,1,11,1
May 17 2011,18,7,1,1,9,7,1
Mar 21 2011,18,7,4,1,9,7,1
Jun 13 2011,2,1,1,5,8,94,1
Aug 29 2011,18,7,1,1,9,7,1
Dec 20 2011,10,99,3,5,8,5,1
Apr 30 2011,18,7,4,1,9,7,1
Mar 01 2011,2,99,1,5,8,94,1
Mar 14 2011,10,99,4,5,8,5,1
Jan 22 2011,2,99,3,5,8,94,1
Dec 06 2011,18,99,4,1,12,99,1
Feb 12 2011,13,7,1,1,9,7,1
Oct 15 2011,13,99,4,1,12,94,1
Mar 24 2011,2,99,4,5,8,99,1
Dec 30 2011,13,1,1,4,10,1,10
Dec 06 2011,50,1,4,1,12,99,1
Oct 06 2011,2,1,2,5,8,94,1
Jan 07 2011,17,3,4,7,12,16,1
Jan 31 2011,17,4,2,7,12,16,1
Dec 15 2011,21,3,3,4,12,10,1
Oct 04 2011,21,4,3,4,12,11,1
Feb 07 2011,51,1,99,5,1,10,1
Aug 07 2011,13,1,4,1,12,99,1
Apr 20 2011,51,99,99,5,1,11,1
Mar 22 2011,10,99,3,4,8,5,1
Nov 25 2011,13,99,4,1,12,99,1
Jan 14 2011,13,99,4,1,12,99,1
Aug 01 2011,10,1,3,4,8,5,1
Feb 15 2011,50,1,1,4,10,1,10
Apr 01 2011,50,1,1,4,10,1,10
Apr 22 2011,50,99,4,5,8,94,1
Jun 13 2011,2,1,1,4,10,1,10
Jul 11 2011,3,3,1,7,9,1,1
Jan 16 2011,18,7,1,1,11,7,1
Jan 06 2011,18,1,99,1,4,3,4
Oct 08 2011,13,7,4,4,12,99,1
Apr 07 2011,21,1,3,4,12,10,1
Sep 12 2011,50,4,1,4,10,1,10
Jan 28 2011,2,99,4,5,8,94,1
Jul 10 2011,2,99,4,5,8,94,1
Nov 12 2011,17,7,1,1,9,7,1
Aug 04 2011,18,3,3,5,11,10,1
Jul 20 2011,51,1,99,1,1,11,1
Aug 11 2011,13,1,4,5,12,99,1
Dec 21 2011,10,3,3,4,8,5,1
Apr 22 2011,3,99,1,7,11,1,1
Nov 25 2011,13,1,4,1,12,99,1
Aug 04 2011,51,1,99,5,1,11,1
Jun 15 2011,51,99,3,4,8,5,1
May 12 2011,10,1,3,5,1,11,1
Aug 11 2011,50,1,4,5,8,94,1
Jun 10 2011,2,1,1,4,10,1,10
Jul 30 2011,13,4,4,4,12,94,1
Jul 22 2011,2,1,3,5,8,94,1
Jan 08 2011,2,99,3,5,8,94,1
Jun 19 2011,10,99,4,4,8,5,1
Jun 17 2011,18,99,4,5,8,94,1
Mar 18 2011,2,7,1,1,9,7,1
Sep 24 2011,3,3,99,7,11,1,1
Jun 15 2011,51,1,1,5,1,11,1
Dec 08 2011,3,3,1,7,11,94,1
Dec 18 2011,2,99,4,5,8,1,1
Apr 12 2011,21,4,4,4,12,10,1
Jan 05 2011,2,99,3,5,8,94,1
May 19 2011,13,1,4,5,12,99,1
May 01 2011,2,99,4,1,8,94,1
Sep 15 2011,13,1,4,5,8,94,1
Jul 13 2011,2,1,4,1,12,99,1
Oct 16 2011,13,1,1,1,12,99,1
Nov 19 2011,50,1,4,7,10,1,10
Dec 10 2011,21,1,1,4,10,1,10
Sep 25 2011,50,4,3,4,12,10,1
Nov 26 2011,3,3,1,7,11,1,1
Dec 19 2011,17,3,3,5,11,10,1
Apr 12 2011,10,99,3,4,8,16,1
Jun 09 2011,17,3,2,7,12,5,1
Nov 04 2011,13,99,4,1,12,99,1
Apr 26 2011,18,7,1,1,9,7,1
Nov 25 2011,13,3,4,1,12,94,1
Sep 10 2011,13,4,3,4,12,99,1
Jul 23 2011,21,4,3,4,12,10,1
Jun 28 2011,17,3,3,1,8,10,1
Mar 22 2011,50,1,1,4,1,1,10
Jul 30 2011,51,1,99,5,10,11,1
Jul 05 2011,10,1,3,4,8,5,1
Jun 26 2011,13,99,4,1,12,99,1
Feb 03 2011,2,99,4,1,8,94,1
Apr 07 2011,18,7,1,5,9,7,1
Nov 01 2011,2,99,4,1,8,94,1
Jan 04 2011,18,7,1,5,9,7,1
Mar 31 2011,18,7,1,5,9,7,1
Jul 18 2011,51,1,3,1,1,11,1
Mar 29 2011,18,7,1,1,9,7,1
Jun 09 2011,18,7,1,1,9,7,1
Feb 26 2011,2,99,99,5,8,94,1
Aug 04 2011,51,1,4,5,1,11,1
Jun 19 2011,10,99,3,4,8,5,1
Jun 22 2011,50,1,1,4,10,1,10
Nov 11 2011,18,3,1,7,11,1,1
Apr 04 2011,3,7,1,1,9,7,1
Jun 12 2011,18,7,1,1,9,7,1
Dec 20 2011,2,99,4,5,8,94,1
May 20 2011,18,7,4,1,9,7,1
Nov 18 2011,13,99,1,1,12,99,1
Feb 12 2011,13,1,4,1,12,99,1
Jan 02 2011,10,99,3,4,8,5,1
Jul 18 2011,10,99,3,4,1,5,1
Feb 10 2011,21,4,3,5,12,10,1
Dec 01 2011,18,7,1,5,9,7,1
Aug 14 2011,18,7,1,1,9,7,1
Jun 11 2011,13,1,4,1,8,99,1
Dec 02 2011,17,3,3,1,12,10,1
Mar 14 2011,10,99,3,1,8,5,1
Sep 17 2011,13,3,4,5,12,99,1
Dec 26 2011,13,99,4,1,12,99,1
Mar 01 2011,13,1,4,1,12,99,1
Oct 08 2011,18,3,3,1,8,10,1
Feb 05 2011,17,7,1,1,9,7,1
Apr 25 2011,13,3,3,7,12,10,1
May 21 2011,18,7,1,1,9,7,1
Oct 07 2011,21,4,3,5,12,10,1
May 10 2011,51,1,99,4,1,11,1
Aug 07 2011,13,1,4,1,12,99,1
Jun 07 2011,13,1,4,1,12,99,1
Feb 02 2011,2,1,4,5,8,94,1
Sep 27 2011,2,1,4,5,8,94,1
Dec 02 2011,51,1,3,5,1,11,1
Nov 25 2011,10,99,99,5,8,5,1
Mar 25 2011,2,99,4,1,8,94,1
