start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Jul 20 2011,19,4,1,7,8,99,1
Apr 17 2011,19,4,1,7,8,99,1
Dec 08 2011,8,4,1,7,8,99,1
Nov 10 2011,19,4,1,7,8,1,1
Aug 07 2011,19,4,1,7,8,1,1
Apr 01 2011,19,4,1,7,8,99,1
Sep 14 2011,19,4,4,7,8,99,1
Nov 26 2011,19,4,1,7,8,1,1
Oct 21 2011,19,4,3,7,8,1,1
Mar 23 2011,8,4,1,7,8,1,1
Jul 05 2011,19,4,1,7,8,1,1
Aug 27 2011,19,4,3,7,8,1,1
Jul 17 2011,8,4,1,7,8,1,1
Sep 16 2011,8,4,3,7,8,1,1
Dec 05 2011,8,4,1,7,8,99,1
Dec 14 2011,19,4,1,7,8,1,1
Aug 30 2011,19,4,1,7,8,99,1
Oct 10 2011,8,4,1,7,8,1,1
Nov 03 2011,19,4,1,7,8,99,1
Apr 19 2011,19,4,1,7,8,99,1
Sep 28 2011,19,4,3,7,8,1,1
Jul 26 2011,19,4,3,7,8,1,1
Apr 23 2011,19,4,1,7,8,1,1
Mar 25 2011,8,4,1,7,8,7,1
Jul 04 2011,19,4,4,7,8,99,1
Jul 01 2011,19,4,4,7,8,99,1
Aug 07 2011,19,4,1,7,8,1,1
Nov 17 2011,19,4,1,7,8,99,1
Jun 29 2011,19,4,1,7,8,1,1
Jan 23 2011,8,4,1,7,8,1,1
Nov 07 2011,19,4,4,7,8,1,1
Jan 01 2011,8,4,1,7,8,1,1
Sep 07 2011,19,4,1,7,8,1,1
Jul 24 2011,19,4,1,7,8,1,1
Jun 23 2011,19,4,3,7,8,1,1
Dec 21 2011,19,4,1,7,8,1,1
May 21 2011,19,4,3,7,8,1,1
Jul 01 2011,19,4,1,7,8,99,1
Oct 03 2011,19,4,3,7,8,1,1
Jul 28 2011,8,4,1,7,8,1,1
Apr 08 2011,8,4,4,7,8,1,1
Mar 27 2011,19,4,1,7,8,99,1
Nov 29 2011,19,4,1,7,8,1,1
Mar 22 2011,8,4,4,7,8,1,1
Apr 27 2011,19,4,1,7,8,99,1
Aug 16 2011,19,4,1,7,8,1,1
May 31 2011,19,4,3,7,8,1,1
Jun 19 2011,8,4,1,7,8,1,1
Mar 08 2011,19,4,1,7,8,1,1
Jan 22 2011,19,4,4,7,8,99,1
Sep 09 2011,19,4,1,7,8,1,1
Jul 28 2011,8,4,3,7,8,1,1
Jul 08 2011,19,4,1,7,8,1,1
Jul 31 2011,8,4,1,7,8,1,1
Dec 24 2011,8,4,4,7,8,1,1
Jan 15 2011,19,4,4,7,8,99,1
Jun 11 2011,19,4,4,7,8,99,1
Apr 16 2011,19,4,3,7,8,99,1
Jul 01 2011,19,4,1,7,8,1,1
May 02 2011,8,4,1,7,8,1,1
Apr 26 2011,19,4,4,7,8,99,1
Feb 26 2011,19,4,4,7,8,99,1
Feb 20 2011,8,4,1,7,8,1,1
Mar 13 2011,8,4,1,7,8,1,1
Oct 19 2011,19,4,1,7,8,99,1
Jun 05 2011,19,4,1,7,8,1,1
Oct 10 2011,19,4,1,7,8,1,1
Aug 03 2011,8,4,1,7,8,1,1
Dec 17 2011,19,4,4,7,8,99,1
May 27 2011,8,4,1,7,8,1,1
Jan 13 2011,19,4,3,7,8,1,1
Feb 08 2011,19,4,1,7,8,1,1
Dec 11 2011,19,4,1,7,8,99,1
Oct 24 2011,8,4,1,7,8,1,1
Jun 24 2011,8,4,3,7,8,1,1
Jan 21 2011,19,4,1,7,8,1,1
Jan 03 2011,19,4,3,7,8,1,1
Jan 30 2011,8,4,1,7,8,1,1
Aug 19 2011,19,4,1,7,8,99,1
Oct 10 2011,8,4,4,5,8,99,1
Jul 05 2011,8,4,4,7,8,1,1
Jan 30 2011,19,4,1,7,8,1,1
Sep 19 2011,19,4,1,7,8,1,1
Apr 08 2011,8,4,1,7,8,1,1
Mar 14 2011,8,4,1,7,8,1,1
May 31 2011,8,4,3,7,8,1,1
Sep 19 2011,8,4,3,7,8,99,1
Sep 01 2011,19,4,1,7,8,1,1
Oct 15 2011,19,4,1,7,8,1,1
Mar 23 2011,8,4,3,7,8,1,1
Jun 13 2011,19,4,3,7,8,1,1
Aug 26 2011,8,4,1,7,8,1,1
Feb 05 2011,19,4,3,7,8,1,1
Oct 12 2011,19,4,3,7,8,99,1
Nov 10 2011,19,4,1,7,8,99,1
Feb 09 2011,19,4,1,7,8,99,1
Nov 19 2011,19,4,1,7,8,1,1
Dec 07 2011,19,4,1,7,8,99,1
Aug 08 2011,19,4,1,7,8,1,1
Mar 07 2011,8,4,3,7,8,1,1
Mar 10 2011,19,4,1,7,8,1,1
Nov 15 2011,8,4,1,7,8,1,1
Aug 21 2011,8,4,3,7,8,1,1
Jul 24 2011,19,4,1,7,8,1,1
Jun 17 2011,8,4,1,7,8,1,1
Jul 04 2011,19,4,3,7,8,1,1
Aug 14 2011,19,4,1,7,8,99,1
Nov 03 2011,19,4,4,7,8,1,1
Jul 16 2011,19,4,1,7,8,1,1
Jul 22 2011,19,4,1,7,8,1,1
Jul 03 2011,19,4,4,7,8,99,1
Oct 09 2011,19,4,1,7,8,1,1
Aug 04 2011,8,4,1,7,8,1,1
Mar 31 2011,19,4,1,7,8,99,1
Dec 20 2011,19,4,3,7,8,1,1
Feb 26 2011,19,4,1,7,8,1,1
May 01 2011,19,4,1,7,8,1,1
Sep 01 2011,19,4,1,7,8,1,1
Sep 01 2011,8,4,1,7,8,1,1
Jan 07 2011,19,4,1,7,8,1,1
Nov 30 2011,19,4,1,7,8,1,1
Jan 20 2011,19,4,1,7,8,1,1
Nov 25 2011,14,4,1,7,8,99,1
Dec 03 2011,8,4,1,7,8,1,1
Mar 08 2011,8,4,1,7,8,1,1
Jun 30 2011,19,4,1,7,8,1,1
Mar 19 2011,19,4,1,7,8,1,1
Apr 02 2011,8,4,1,7,8,99,1
Jun 16 2011,19,4,1,7,8,99,1
Sep 03 2011,19,4,4,7,8,99,1
Apr 13 2011,19,4,1,7,8,1,1
Oct 10 2011,8,4,1,7,8,1,1
Jul 26 2011,8,4,1,7,8,1,1
Oct 19 2011,8,4,3,7,8,1,1
Dec 19 2011,8,4,3,7,8,1,1
Oct 08 2011,8,4,3,7,8,1,1
Feb 19 2011,19,4,3,7,8,1,1
May 12 2011,8,4,3,7,8,1,1
