south_north,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
0,1.1642632,1.6658214,2.0314643,2.591665,2.8097143,2.8918607,2.6005442,2.9126363,2.6889179,2.794958,2.803979,3.0105798,3.7694178,3.6686957,3.0220573,3.3923457,3.315155,3.075973,3.1402133,3.3964372,3.3980355,3.6198614,3.729983,3.5389555,3.6021705,3.5628476,3.3908253,3.3137877,3.266789,3.1440682,3.1371665,3.2742174,3.1832466,3.228133,3.2027156,3.1943038,3.5263603,3.5326717,3.4835417,3.0753615,3.0881407,3.5352132,3.4428852,3.2825968,2.873447,2.8278472,3.1847005,3.1908853,3.1817605,3.1288567,3.076871,3.1296,3.0535374,2.9945254,3.0091016,2.7002697,3.1089811,2.9933636,3.1514142,2.765776,2.679207,2.7299287,2.6878605,2.70595,2.469794,2.8152971,2.8922088,2.6763513,2.6916752,2.0456598,1.7930458,1.7571081,1.0297475,0.842761,0.89607555,0.7422055,0.8853822,0.984304,1.1125512,1.0832483,1.0291766,0.9367937,0.8688736,0.75615215,0.7705428,0.7389675,0.67110956,0.69616437,0.7651288,0.71575874,0.792111,0.8991132,1.1003805,1.2100714,1.2499857,1.0902878,1.0706946,0.9575278,1.0346075,1.1696744,1.3519528,1.4850008,1.6373037,1.7367796,1.7713988,1.7923238,2.0066338,2.2812078,2.4108975,2.3844295,2.1262827,2.1928833,2.399675,2.8037171,3.483658,3.6407666,3.9547062,4.207818,4.2160006,4.135134,3.9850109,3.7505238,3.5072238,3.2055316,3.0232673,2.8918831,2.832396,2.9842565,3.1569457,3.3186898,3.4604385,3.5932972,3.710624,3.7496297,3.8227928,3.919533,4.0362883,4.2313466,4.352334,4.584154,4.900742,5.174138,5.4457607,5.689493,5.836859,6.0289516,6.1707826,6.2046814,6.2340603,6.2750826,6.303367,6.3148613,6.3530574,6.400403,6.4317594,6.443172,6.437377,6.35796,6.258095,6.181419,6.1293736,6.088005,6.0419326,5.9781737,5.9249797,5.8798337,5.804566,5.713545,5.6778393,5.628041,5.5793505,5.553257,5.556674,5.5931945,5.604216,5.6090665,5.6457934,5.6572475,5.653385,5.6329603,5.6391544,5.655309,5.670319,5.691107,5.7110224,5.7371535,5.793551,5.8625083,5.882259,5.9884562,5.7817645
1,1.2912254,1.620519,2.0563946,2.3968508,2.422739,2.6160243,2.49806,2.4092925,2.5964243,2.923356,2.954186,3.1979525,3.202835,3.26443,3.3462772,2.936604,2.942423,3.1621847,3.2731972,3.1338365,3.0947604,3.2226343,3.0745502,3.2427056,3.388071,3.3180823,3.3739815,3.3112953,3.2648952,3.0464048,3.08005,3.1603355,3.236073,3.127639,3.0082703,3.2297883,3.1273565,3.1640968,3.3289514,3.0906081,3.2103388,3.162778,2.9981515,3.2634075,3.3385863,2.952927,3.1543295,3.0571423,3.0367413,3.045766,3.1164186,3.0428398,2.8648686,2.8295944,2.6541445,2.9137847,2.682857,2.9266324,3.0675297,2.832104,2.7099264,2.578676,2.5171075,2.2584894,2.111587,2.347768,2.258688,2.2255566,1.9954972,1.8328959,1.6014887,1.3437991,1.1659521,0.9390593,0.7975748,0.70268965,0.68686736,0.6211375,0.57368803,0.49923396,0.4748921,0.51448864,0.57600045,0.53680503,0.47733206,0.4075789,0.384782,0.37990236,0.40580344,0.46907917,0.6913826,0.88465464,1.0988581,1.231631,1.3651985,1.3532645,1.274877,1.2252297,1.3774529,1.5064237,1.6928935,1.7690876,1.8554467,1.8810135,1.9775788,2.023833,1.9416223,1.9486198,2.3667123,2.3938339,2.1712103,2.1489158,2.1534708,2.3456218,3.3613477,3.6250715,3.9952364,4.10567,4.1346364,4.077385,3.8651881,3.6760783,3.406007,3.1206095,2.893573,2.6513703,2.5751092,2.5902007,2.7295308,2.9197059,3.1056466,3.2701695,3.4301043,3.5808725,3.6938324,3.7819138,3.9757142,4.275993,4.566689,4.9342904,5.2491045,5.574515,5.981398,6.3031006,6.5217447,6.677494,6.799372,6.9123807,6.9821267,6.9865847,6.9858627,6.9999323,7.0413313,7.095317,7.1242976,7.086675,7.0162244,6.938792,6.8854556,6.857897,6.8535767,6.8161945,6.7450385,6.6372986,6.510414,6.3971334,6.2097626,6.058839,5.931172,5.8001156,5.690854,5.6259866,5.560612,5.5382433,5.497521,5.4896774,5.5028095,5.478508,5.425565,5.3813996,5.370668,5.3408785,5.3138742,5.346577,5.3661304,5.4270916,5.5900974,5.792678,5.9299474,6.0638685,5.776767
2,1.5970976,1.7042022,2.1000772,2.2854798,2.0853503,2.0422146,2.2585106,2.4892135,2.579237,2.6855633,2.3465185,2.3595421,3.049292,3.0685778,3.0329077,2.8485477,2.7738183,2.7007005,2.7810273,2.90134,2.8317943,2.9576333,3.1118217,3.3018544,3.1496615,3.233869,3.2923622,3.1826134,3.0148315,2.9506192,2.645133,3.0174026,3.347113,3.1452127,3.0097167,2.9796207,2.858062,2.9988918,2.9272072,3.0260487,3.1194417,3.0469816,2.9987288,2.9604197,3.0095782,2.824124,2.8834996,2.9588192,2.9126425,2.9540825,2.8952498,2.984671,2.8060563,2.5805926,2.7802503,2.7552886,2.6520162,2.6767173,2.5536244,2.2546597,2.3277667,2.3879566,2.142387,2.1220617,2.1892862,2.1018949,2.4537947,1.9795455,1.8590868,1.6940951,1.554505,1.3388934,1.0746918,0.7292983,0.40770397,0.1520326,0.25537857,0.46421704,0.5284132,0.5907013,0.69059396,0.8084152,0.9565077,0.9505362,0.98197305,0.7398544,0.8513141,0.7485444,0.62014806,0.4653168,0.85839355,1.0909249,1.2315992,1.2273772,1.3895302,1.5364516,1.6473103,1.65671,1.6216501,1.6411031,1.7742606,1.8195957,1.8230102,1.902789,1.9425062,1.9691997,2.1017299,2.1514065,2.3436575,2.2476885,2.225592,2.305128,2.2917526,2.730601,3.1473844,3.7663543,4.1808486,4.347647,4.451695,4.45227,4.3076563,4.033386,3.6906693,3.4319313,3.1576648,2.8580353,2.7118654,2.6219635,2.6582742,2.7639856,2.9650342,3.1283064,3.237491,3.3646243,3.454364,3.5644476,3.745869,3.9804122,4.3207226,4.7628527,5.1874585,5.610732,5.9853487,6.328964,6.5524397,6.6973968,6.814136,6.8841524,6.9434004,6.9627614,6.956672,6.9505353,7.0065827,7.0805397,7.135885,7.124185,7.0755396,7.073071,7.0859456,7.110717,7.113695,7.1001606,7.034864,6.88483,6.711827,6.5143332,6.2950983,6.092017,5.8988395,5.749768,5.661928,5.561362,5.4570184,5.385921,5.3272824,5.3126583,5.2403183,5.174005,5.068208,4.9407244,4.7880716,4.6774445,4.597953,4.5943017,4.6005654,4.701968,5.0102186,5.538934,5.8864837,6.0120993,5.7509637
3,1.8730426,1.9273255,2.1360807,1.9975432,1.7530078,1.8610761,2.0838125,1.9244682,2.121999,1.9390398,2.2704082,1.9480758,1.753449,2.4129982,2.7252696,2.4758236,2.4492817,2.4764707,2.3217754,2.4105272,2.4691873,2.5192277,2.5373342,2.7650604,2.7599478,2.7339113,2.9125617,2.7726038,2.371286,2.1630766,2.2869816,2.4810731,3.0332453,2.994297,2.7129824,2.7357984,2.4948843,2.4226239,2.4840338,2.7306726,2.8973365,2.519171,2.769618,2.8437624,2.6258636,2.795209,2.5862887,2.647065,2.628677,2.3951392,3.0135922,2.4936433,2.6279132,2.7781205,3.0216558,3.0311656,2.2995846,2.2359889,2.158695,2.349088,2.3199673,2.0630562,1.8186417,2.0299926,2.1116834,2.2049825,2.2540045,1.9289634,1.5268807,1.4937087,1.4623458,1.2630801,0.8981911,0.74161637,0.9314675,1.0888338,1.5152645,1.5820152,1.7408867,1.8860623,2.0019646,2.070225,2.1820567,2.1716795,1.970894,2.0352247,2.3223996,2.0693765,2.2210126,1.7227798,2.2776306,2.2969284,2.3276649,2.189376,2.1084793,2.0177624,2.4795768,2.4338796,2.4469044,2.0221627,2.3038945,2.2157524,1.8025934,1.8162371,1.9996958,1.9064105,1.896923,1.8090966,1.9422551,1.7463241,1.8167835,1.8393925,2.0091143,2.9333494,3.5679462,3.9923642,4.464467,4.7987,5.0471983,5.1433105,5.1162763,4.949632,4.717983,4.396678,4.120998,3.8302379,3.507834,3.2512515,3.073004,2.8460355,2.7906463,2.762592,2.6155417,2.644475,2.6089485,2.6875343,2.8655784,3.1374328,3.4751294,4.028085,4.6137257,5.113354,5.48677,5.8774743,6.05074,6.264832,6.358729,6.456294,6.535966,6.601417,6.6830807,6.74123,6.884692,7.030801,7.1459613,7.1866055,7.119469,7.1916857,7.202919,7.30934,7.371904,7.4247413,7.399245,7.284287,7.0774045,6.8922358,6.6891117,6.473067,6.2746844,6.155493,6.066656,5.933994,5.7967963,5.6703014,5.517105,5.3796873,5.2020965,5.0537987,4.871637,4.6784725,4.3497987,4.038584,3.8091168,3.4170628,3.5129476,3.4248323,4.074373,5.4767866,5.924994,6.1108723,5.7757015
4,2.1745446,2.0330665,2.0727012,1.9364697,1.75782,1.9186499,1.8876805,2.0129378,1.9653361,2.3193057,2.3446927,2.15334,1.852949,2.4892664,2.780765,2.5868735,2.2329028,2.4386082,2.0334737,2.0312667,2.1035259,2.297031,2.4713688,2.320047,2.2395318,2.2964592,2.3709216,2.2639146,1.7983739,1.8967546,1.8839809,1.7367334,2.5004706,2.808902,2.7896621,3.1378195,2.424518,2.1670227,2.1312237,2.4536152,2.7301528,2.2122796,2.6872878,2.7097876,2.5359843,2.7245314,2.3095357,2.6343975,2.719934,2.3373704,2.6022787,2.3698175,2.6599114,2.4453535,2.6981373,2.8248618,1.951226,1.9186699,1.9201807,2.287099,2.218176,1.9471034,1.9945804,2.3776572,2.3204217,2.1642728,2.046871,1.7260665,1.6960835,1.6546193,1.570745,1.3373005,1.9157302,2.5786757,2.342529,1.9608798,2.3256967,2.869959,3.0973058,3.2673318,3.0982707,2.928659,3.1003542,3.008847,2.79492,2.8911226,2.813168,2.6646855,3.0272963,2.6670997,3.2049074,3.3013248,3.1335118,2.9845347,2.6289728,2.3934855,2.914719,2.9711761,2.999698,2.1642911,2.3968873,2.4843783,1.8657818,1.9305247,2.0419977,1.774585,1.7577806,1.8025637,1.515306,0.9318756,1.2326684,1.1695833,1.8916591,3.2540529,3.7166636,3.919156,4.289368,4.51789,4.7328014,4.834333,4.8271627,4.8339458,4.723105,4.334278,3.9608722,3.6043744,3.1867974,2.7831604,2.5057504,2.1724725,2.0238376,1.9252552,1.9058586,1.7510365,1.7736673,2.1179535,2.3544722,2.5434263,2.7972355,3.0600932,3.3415546,3.6615043,3.8864334,4.1485133,4.352217,4.599601,4.822819,4.9951406,5.1147914,5.1833053,5.2499094,5.4369445,5.551779,5.539079,5.7459087,5.7070518,5.770753,5.879819,5.8763037,5.876318,5.8985476,5.9373555,6.0440793,6.1417108,5.9711113,6.046349,5.8786187,5.8075185,5.680572,5.607611,5.565072,5.5122867,5.4440937,5.3931174,5.33849,5.309387,5.3345056,5.293202,5.2817717,5.3547215,5.4061656,5.398539,5.2228255,4.474346,4.580123,4.4298024,4.773738,5.9449596,6.0272765,6.191585,5.904264
5,2.4550211,2.1980681,1.7442962,1.6173229,2.0043862,2.03105,2.0421767,2.447333,2.4670427,2.6827152,3.187487,2.8587492,2.3130493,2.0095484,2.3699949,2.5206723,2.2526197,2.1253889,2.2388062,2.2614524,2.201378,2.2597246,2.347368,2.1399472,1.9306562,2.275003,1.8222783,1.9760176,2.2414494,2.2115066,2.1763546,2.007658,2.2663996,2.4428473,2.71655,3.066445,2.914379,2.3743362,2.479463,3.0249383,2.6111436,2.275613,2.6399958,2.6302032,2.8917618,2.1391726,2.2039983,3.2221308,3.2181084,2.7355108,2.673298,2.284095,2.5488832,1.9754039,1.8552837,2.004198,1.9937875,2.0155656,1.973694,2.2123086,1.9971553,2.3213625,2.5226202,2.5285254,2.2664306,2.2695363,1.9976083,1.9254397,2.1097612,1.9000332,1.6314653,1.9884689,2.426262,2.198815,1.7119282,1.7035613,2.1632864,2.516604,2.6937158,2.572883,2.3147895,2.1803992,2.36302,2.3724613,2.2650409,2.2863312,2.1083076,1.8502207,2.0699353,2.0018892,1.9725395,2.053321,2.1089492,2.250597,2.4531813,2.326075,2.5196862,2.5808685,2.6276882,1.8206238,2.0055656,2.000967,1.9420834,1.9413971,1.947111,1.783295,1.8776307,1.7766,1.7210795,1.7588915,2.055237,1.9474566,2.266717,3.6251962,3.8039598,3.8462064,3.9830534,4.0278482,4.1365547,4.180661,4.1484294,4.163622,4.050885,3.682515,3.2736273,3.07954,2.7502477,2.5312636,2.2613924,2.1399755,1.8671433,1.8348514,1.9463522,1.8548865,2.0708332,2.442091,2.4961145,2.701583,2.8184268,2.9060156,3.141364,3.3845458,3.5839128,3.82779,4.0737667,4.3448286,4.5700994,4.7349834,4.84341,4.8457866,4.8701253,5.026234,5.1401005,5.228508,5.33822,5.288082,5.5747414,5.592868,5.8894343,5.909393,5.774604,5.665674,5.8291593,5.742827,5.5902853,5.6894245,5.477506,5.50535,5.394655,5.3542976,5.3050632,5.2755413,5.2287717,5.1966534,5.2014,5.239567,5.309545,5.3097887,5.246119,5.303704,5.3917975,5.6687255,5.5635595,5.0368743,5.116113,4.6596637,5.189125,6.08063,6.207054,6.3355412,6.1223474
6,2.6445818,2.0880802,1.5244466,1.5537863,2.205485,2.0118318,2.0421815,2.7017324,2.7239797,2.5676522,3.2152474,2.6965282,2.3798916,2.4056885,2.2724314,2.190478,2.1007307,1.9419206,2.2732995,2.5418162,2.5953205,2.3968794,2.3707263,2.0323367,1.8883208,1.9116423,1.5905948,1.9496933,2.3376791,2.2940462,2.3589766,2.523,2.7738755,2.4133542,2.308365,2.5262449,2.9106202,2.6121204,2.4454842,2.8215196,2.1949031,2.2645645,2.2566066,2.623202,2.7143416,2.2968757,2.1705656,3.1279109,2.9065807,3.0682676,2.6337457,2.191839,2.0993881,1.9664465,1.8779368,1.7488528,1.9323189,2.032745,1.90052,2.0108957,1.9248428,2.1290164,2.2417848,2.3762739,2.0781674,1.7784009,2.115086,2.3094687,2.2262247,2.0431993,1.6336557,2.0119605,2.3775752,2.318297,2.1190026,2.3096545,2.4353452,2.6151624,2.6680279,2.6035483,2.629162,2.5994675,2.5948696,2.5865166,2.6504555,2.48676,2.4100928,2.3916574,2.2541351,2.0163841,1.9176506,1.9581002,2.0228891,2.2425816,2.286497,2.2964425,2.1832457,2.2183,2.0441127,1.9039344,1.8463386,1.8242054,1.8872576,1.6283457,1.7042209,1.6793613,1.7668194,1.6103688,1.4897959,1.8344615,1.6619725,1.6381766,1.8215994,3.0998065,3.3758693,3.4132328,3.439648,3.4739711,3.5708413,3.6244724,3.652337,3.7187183,3.675175,3.3131924,2.9537134,2.8161213,2.4606285,2.2943676,1.9240098,1.9890131,1.9969809,1.9994233,1.9060603,1.9807371,2.0779645,2.1445181,2.2629473,2.4681454,2.5677457,2.8161983,3.078141,3.2828329,3.5566723,3.8183744,4.0339117,4.2990475,4.480326,4.691542,4.8687115,4.9649663,5.0112715,4.9959493,5.0648108,5.2768054,5.260126,5.444966,5.5805807,5.451848,5.866472,5.9370885,5.8045473,5.8248506,5.9140143,5.5521193,5.6415353,5.5792036,5.636811,5.5380855,5.475011,5.459732,5.404553,5.35595,5.3116517,5.272109,5.2249923,5.1700277,5.159183,5.1872964,5.0981684,5.064953,5.046882,5.1715736,5.221073,5.209157,4.989517,4.13931,4.9684978,6.188238,6.4414954,6.665357,6.415299
7,2.7661364,2.4690068,1.7412051,1.4896177,2.756679,2.641541,2.4233458,3.1726327,3.0337193,2.6436574,3.2557514,2.6401215,2.5329356,2.9502745,2.685711,2.2421744,2.4183662,2.0781448,2.1135447,2.6310313,2.6881268,2.406096,2.3669343,2.1468813,1.8980619,1.9384207,1.5104262,1.7831262,2.1299412,2.1100628,2.3506987,2.732408,3.0690224,3.0461626,2.368256,2.4261873,2.4640381,2.6090975,2.5103703,3.0168326,2.5820844,2.4045959,2.4544175,2.65536,2.4384685,2.5754883,2.097619,2.6468875,2.717783,3.035423,2.343868,2.1523767,2.2066913,2.0632222,2.1197777,1.964154,1.919731,1.9485242,1.8850503,2.1226583,2.385934,2.6302114,2.9244967,2.639305,2.0478196,1.9032519,2.0001924,2.1699245,2.1923485,2.379915,2.474586,2.3810794,1.9403168,1.8093243,2.08723,2.3355134,2.2971947,2.3356042,2.192188,2.269276,2.308115,2.2556946,2.1871555,2.1795142,2.130136,2.1291373,2.208363,2.2269552,2.138854,1.8792307,1.7707529,1.6395447,1.7561865,1.9402735,2.0080876,1.8362802,1.7791721,1.9116241,1.9196305,1.755296,1.7607456,1.6820668,1.6734487,1.6854819,1.834805,1.6529409,1.5259732,1.3884505,1.4326026,1.6281357,1.4385929,1.5838717,2.3613737,3.0881135,3.0451922,3.0845752,3.005475,3.090798,3.1881113,3.197388,3.2561812,3.313507,3.2826285,3.041624,2.784149,2.5768986,2.3547792,2.0878646,1.7591592,1.5770128,1.7959797,1.6680261,1.7129915,1.7942816,1.9293277,2.1136165,2.2947965,2.4280212,2.6106913,2.7513046,2.9189196,3.1533184,3.3185284,3.468816,3.6865253,3.8882067,4.0822215,4.2767334,4.4875135,4.7088428,4.8633714,4.8546824,4.7833147,4.74741,4.7760572,5.09081,5.2113404,5.323506,5.3873744,5.2121825,5.218189,5.3894224,5.4663234,5.1269193,5.3771157,5.1143036,5.3034525,5.1413617,5.1667457,5.141859,5.138654,5.127555,5.1303754,5.1257296,5.108584,5.096231,5.0938087,5.173084,5.271732,5.297271,5.308946,5.353352,5.4955173,6.0249853,5.6252418,4.5153995,5.1337986,6.2890477,6.567006,6.8584375,6.7227273
8,3.0097716,2.8204844,1.9386579,1.2401935,2.6779785,3.1441498,2.9688764,3.3668668,3.3428843,3.3216665,3.35616,2.6884398,2.7182806,2.7677352,2.88061,2.8098092,2.752813,2.3960965,2.3828185,2.6860783,2.7776766,2.432906,2.2896924,2.2388616,2.062347,2.1493409,1.7183797,1.4053322,1.8455333,1.8688295,2.3539162,2.5822709,3.0932624,3.1788745,2.516533,2.6922326,2.6856608,2.5767245,2.9513366,3.2857337,3.1202493,2.33655,2.9315345,3.0372508,2.3590412,2.6339724,1.8912634,2.769726,3.4081643,3.109781,2.2242217,2.2453651,2.2711875,1.971438,2.0660346,1.9883038,2.0151455,2.04581,2.2020597,2.5826197,2.6039836,2.212675,2.6754801,2.7767806,2.5270996,2.3667467,2.299532,2.1833167,2.0942762,2.2014205,2.2900643,2.417728,2.3298087,2.1363437,2.3239574,2.4731615,2.3917801,2.3013825,2.4225984,2.4872003,2.3922105,2.2105033,2.1092193,2.130675,2.123819,2.2260582,2.2145975,2.015681,1.9631634,2.0760531,2.0070398,1.7931005,1.785455,1.8425031,1.6603603,1.6023617,1.7420987,2.0262501,1.863696,1.7154264,1.7743651,1.6154046,1.765538,1.8856564,1.865278,1.6639724,1.6074924,1.5300072,1.9709511,1.751906,1.6879483,2.040221,2.4171119,2.59752,2.6637926,2.7031999,2.6977077,2.8421237,2.8821154,2.8832796,2.954541,3.0112708,3.0112057,2.8609958,2.669581,2.4133265,2.2915266,1.9887289,1.8161392,1.5367658,1.929312,1.8194568,1.8857116,1.8869256,1.9515436,2.030419,2.1219053,2.3197968,2.4819915,2.658131,2.9017594,3.1298053,3.2763522,3.4467309,3.6896563,3.886524,4.036091,4.2384305,4.3574924,4.590762,4.870742,5.028441,4.961257,4.869186,4.7445045,4.820484,5.0551047,5.516328,5.508744,5.1925654,5.3351536,5.4890018,5.4430213,5.2329674,5.385214,5.3070507,5.1412883,5.1995993,5.181723,5.161518,5.1507564,5.125024,5.097675,5.0591187,5.0471163,5.0340934,4.9880247,4.9912086,5.017766,5.030819,5.016335,5.065517,5.302433,6.0057545,5.8859625,4.6552444,5.1971116,6.299744,6.527236,6.7950497,6.805779
9,3.9841835,2.8930671,2.3216677,1.1022563,1.858758,3.2293644,3.0050209,3.376352,3.516736,3.8485475,3.4500167,2.5854084,2.4998388,2.681093,2.7801692,2.8512766,2.6466649,2.458913,2.5582314,2.6039684,2.7652748,2.615054,2.292347,2.2333505,2.142402,2.2144048,2.1094148,1.8248622,2.0515244,1.8278345,2.3435369,2.505694,2.75583,2.7158794,2.5716813,3.037864,2.982441,3.0029137,3.1224597,3.4480982,3.0533683,2.0966647,3.0673141,3.6230116,2.8478649,2.4886365,2.4677587,3.0507324,3.3879862,3.345263,2.6924446,2.3140965,2.203716,2.0333843,1.9890985,2.0380201,2.0621834,2.143379,2.436479,2.8314648,2.5445547,1.864666,2.110677,2.85466,2.6543727,2.1663961,2.056892,2.1054623,2.0726922,2.2204869,2.153553,1.9700725,1.8834894,1.8659666,2.1434114,2.2712936,2.0606697,2.1195066,2.266409,2.1415176,1.7967169,1.6636829,1.7584838,1.8650601,1.9586902,2.1226983,2.0938802,1.760668,1.9404442,2.1680686,2.0036414,1.7830955,1.5216558,1.4133786,1.444055,1.7365428,1.9915546,1.8512617,2.053533,1.7050807,1.722373,1.7260005,1.5331821,1.6334585,1.7014643,1.5918771,1.6250147,1.7102294,1.8284564,1.61052,1.5401511,1.813914,2.0004187,2.2330763,2.3444276,2.453658,2.480762,2.5828958,2.559597,2.5978837,2.6323621,2.6824958,2.7255611,2.6057196,2.4598918,2.2107856,2.0835314,1.7913152,1.6614004,1.4085513,1.4007562,1.5874549,1.775916,1.7529448,1.8390191,1.9551059,2.093816,2.297507,2.4636703,2.6233523,2.8566287,3.059221,3.197202,3.3647668,3.5779939,3.7288008,3.8565376,4.056406,4.1439924,4.3821673,4.6332226,4.824391,4.932223,4.982433,4.7175975,4.5140758,4.498837,4.7792883,5.045586,4.9569974,5.1227922,5.277614,5.063467,5.012462,5.1109104,5.321974,4.9683337,5.1008267,4.9880767,4.9979944,4.9716625,4.937189,4.896036,4.9110107,4.9460773,4.940958,4.9501605,4.9736376,4.954649,5.0331044,5.144455,5.1490874,5.4450097,6.027301,6.2539644,5.232075,5.485618,6.331498,6.527966,6.7121196,6.6544023
